latitude,longitude,co,no,no2,o3,so2,pm2_5,pm10,nh3
-0.1991823014572864,51.44064787417085,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.44140164301508,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.4421554118593,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.44290918070352,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.443662949547736,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.44441671839195,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.44517048723618,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.4459242560804,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.44667802492462,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.44743179376884,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.44818556261306,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.44893933145728,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.44969310030151,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.45044686914573,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.45120063798995,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.45195440683417,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.45270817567839,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.45346194452261,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.454215713366835,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.454969482211055,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.455723251055275,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.456477019899495,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.457230788743715,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.457984557587935,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.45873832643216,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.45949209527638,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.4602458641206,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.46099963296482,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.46175340180904,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.46250717065327,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.46326093949749,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.46401470834171,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.46476847718593,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.46552224603015,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.46627601487437,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.467029783718594,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.467783552562814,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.468537321407034,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.469291090251254,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.470044859095474,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.47079862793969,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.47155239678392,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.47230616562814,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.47305993447236,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.47381370331658,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.4745674721608,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.47532124100503,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.47607500984925,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.476828778693466,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.477582547537686,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.478336316381906,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.479090085226126,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.47984385407035,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.48059762291457,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.48135139175879,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.48210516060301,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.48285892944723,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.48361269829145,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.48436646713568,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.4851202359799,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.48587400482412,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.48662777366834,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.48738154251256,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.488135311356785,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.488889080201005,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.489642849045225,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.490396617889445,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.491150386733665,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.491904155577885,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.49265792442211,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.49341169326633,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.49416546211055,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.49491923095477,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.49567299979899,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.49642676864321,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.49718053748744,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.49793430633166,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.49868807517588,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.4994418440201,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.50019561286432,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.500949381708544,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.50170315055277,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.502456919396984,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.5032106882412,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.503964457085424,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.50471822592964,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1991823014572864,51.50547199477387,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.50622576361809,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.50697953246231,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.50773330130653,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.50848707015075,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.50924083899497,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.5099946078392,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.510748376683416,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.51150214552763,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.512255914371856,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.51300968321608,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.5137634520603,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.51451722090452,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.51527098974874,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.51602475859296,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.51677852743718,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.5175322962814,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.51828606512563,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.51903983396985,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.51979360281407,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.52054737165829,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.52130114050251,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.52205490934673,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.522808678190955,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.523562447035175,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.524316215879395,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.525069984723615,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.525823753567835,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.52657752241206,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.52733129125628,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.5280850601005,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.52883882894472,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.52959259778894,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.53034636663316,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.53110013547739,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.53185390432161,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.53260767316583,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.53336144201005,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.53411521085427,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.53486897969849,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.535622748542714,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.536376517386934,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.537130286231154,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.537884055075374,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.53863782391959,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.53939159276381,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.54014536160804,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.54089913045226,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.54165289929648,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.5424066681407,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.54316043698492,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.54391420582915,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.54466797467337,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.545421743517586,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.546175512361806,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.546929281206026,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.547683050050246,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.54843681889447,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.54919058773869,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.54994435658291,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.55069812542713,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.55145189427135,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.55220566311557,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.5529594319598,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.55371320080402,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.55446696964824,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.55522073849246,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.55597450733668,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.556728276180905,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.557482045025125,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.558235813869345,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.558989582713565,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.559743351557785,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.560497120402005,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.56125088924623,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.56200465809045,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.56275842693467,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.56351219577889,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.56426596462311,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.56501973346733,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.56577350231156,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.56652727115578,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1991823014572864,51.56728104,277.04,0.0,0.02,40.05,0.01,0.57,0.94,0.0
-0.1973230049748743,51.41728104,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.41803480884422,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.41878857768844,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.419542346532666,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.420296115376885,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.421049884221105,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.421803653065325,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.422557421909545,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.423311190753765,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.42406495959799,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.42481872844221,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.42557249728643,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.42632626613065,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.42708003497487,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.42783380381909,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.42858757266332,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.42934134150754,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.43009511035176,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.43084887919598,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.4316026480402,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.432356416884424,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.43311018572864,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.433863954572864,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.43461772341709,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.435371492261304,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.43612526110552,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.43687902994975,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.43763279879397,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.43838656763819,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.43914033648241,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.43989410532663,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.44064787417085,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.44140164301508,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.4421554118593,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.44290918070352,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.443662949547736,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.44441671839195,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.44517048723618,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.4459242560804,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.44667802492462,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.44743179376884,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.44818556261306,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.44893933145728,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.44969310030151,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.45044686914573,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.45120063798995,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.45195440683417,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.45270817567839,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.45346194452261,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.454215713366835,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.454969482211055,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.455723251055275,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.456477019899495,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.457230788743715,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.457984557587935,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.45873832643216,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.45949209527638,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.4602458641206,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.46099963296482,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.46175340180904,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.46250717065327,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.46326093949749,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.46401470834171,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.46476847718593,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.46552224603015,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.46627601487437,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.467029783718594,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.467783552562814,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.468537321407034,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.469291090251254,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.470044859095474,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.47079862793969,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.47155239678392,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.47230616562814,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.47305993447236,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.47381370331658,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.4745674721608,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.47532124100503,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.47607500984925,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.476828778693466,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.477582547537686,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.478336316381906,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.479090085226126,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.47984385407035,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.48059762291457,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.48135139175879,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.48210516060301,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.48285892944723,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.48361269829145,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.48436646713568,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.4851202359799,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.48587400482412,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.48662777366834,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.48738154251256,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.488135311356785,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.488889080201005,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.489642849045225,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.490396617889445,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.491150386733665,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.491904155577885,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.49265792442211,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.49341169326633,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.49416546211055,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.49491923095477,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.49567299979899,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.49642676864321,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.49718053748744,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.49793430633166,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.49868807517588,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
-0.1973230049748743,51.4994418440201,277.04,0.0,0.03,42.56,0.01,0.75,1.09,0.0
